panel    , method , k, walk_std, lambda_1              , lambda_2            , lambda_2_row_ref      , block_size, d, lam                , s , max_iter, train_ari         , test_ari           , n_test_matrices, source_file                                                            , notes
walk     , WTV-SSC, 5,     0.0 , 0.0031622776601683794 , 0.001               , 0.00048164468350375136,          4,  ,                    ,   ,      100, 1.0               , 1.0                ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , "lambda_2_row_ref back-computed from raw tuned lambda_2 / f_scale(N=150,block_size) for uniform reproduction via run_wtv_ssc"
walk     , OSC    , 5,     0.0 , 0.001                 , 0.46415888336127775 ,                       ,           ,  ,                    ,   ,       50, 1.0               , 1.0                ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , TKSS   , 5,     0.0 ,                       ,                     ,                       ,           , 1, 1.0                ,  1,       30, 0.9268065941635847, 0.8853235190303745 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , WTV-SSC, 5,     0.05, 0.00031622776601683794, 0.006812920690579615, 0.0021174995181537687 ,         10,  ,                    ,   ,      100, 1.0               , 0.9870905976391346 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , "lambda_2_row_ref back-computed from raw tuned lambda_2 / f_scale(N=150,block_size) for uniform reproduction via run_wtv_ssc"
walk     , OSC    , 5,     0.05, 0.001                 , 0.46415888336127775 ,                       ,           ,  ,                    ,   ,       50, 1.0               , 1.0                ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , TKSS   , 5,     0.05,                       ,                     ,                       ,           , 1, 0.1                ,  3,       30, 0.9067635592628316, 0.9042343402674213 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , WTV-SSC, 5,     0.1 , 0.1                   , 2.1544346900318843  , 1.3998045579883605    ,          2,  ,                    ,   ,      100, 0.9991235354772631, 0.9921618576655129 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , "lambda_2_row_ref back-computed from raw tuned lambda_2 / f_scale(N=150,block_size) for uniform reproduction via run_wtv_ssc"
walk     , OSC    , 5,     0.1 , 0.021544346900318832  , 2.154434690031882   ,                       ,           ,  ,                    ,   ,       50, 0.9963873777464946, 0.9665882848976273 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , TKSS   , 5,     0.1 ,                       ,                     ,                       ,           , 1, 0.03162277660168379,  8,       30, 0.8452365581352647, 0.8644316879916989 ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , 
walk     , WTV-SSC, 5,     0.15, 0.31622776601683794   , 0.31622776601683794 , 0.20546321050293498   ,          2,  ,                    ,   ,      100, 0.9951269308497904, 0.959297062103358  ,              20, sbm_summary.csv (icassp_ssc_tv2 job 61277062)                          , "lambda_2_row_ref back-computed from raw tuned lambda_2 / f_scale(N=150,block_size) for uniform reproduction via run_wtv_ssc"
