dataset,method,k,sigma,fold,held_out,lambda_1,lambda_2,lambda_2_row_ref,block_size,d,lam,s,max_iter,train_ari,test_ari,n_train_matrices,n_test_matrices,source_file,notes
ballet,OSC,3,0.0,0,1,0.001,0.004641588833612777,,,,,,100,0.7078869548536506,0.40703283555410824,72,12,gridsearch_ballet_fold0_k3_osc_summary.csv,
ballet,OSC,3,0.0,2,3,0.021544346900318832,0.46415888336127775,,,,,,100,0.6659273847875302,0.702783988448139,72,12,gridsearch_ballet_fold2_k3_osc_summary.csv,
ballet,OSC,3,0.0,3,4,0.021544346900318832,0.46415888336127775,,,,,,100,0.7184216285057775,0.38781852613865525,72,12,gridsearch_ballet_fold3_k3_osc_summary.csv,
ballet,OSC,5,0.0,0,1,0.004641588833612777,0.46415888336127775,,,,,,100,0.6969727550202063,0.5283154040375314,36,12,gridsearch_ballet_fold0_k5_osc_summary.csv,
ballet,OSC,5,0.0,2,6,0.001,0.46415888336127775,,,,,,100,0.6939307806725028,0.5485812602772234,36,12,gridsearch_ballet_fold2_k5_osc_summary.csv,
ballet,OSC,5,0.0,3,7,0.001,0.021544346900318832,,,,,,100,0.6127513167826872,0.7906957859733789,36,12,gridsearch_ballet_fold3_k5_osc_summary.csv,
ballet,TKSS,3,0.0,0,1,,,,,50,10.0,2,30,0.7818815999824014,0.7017237802478905,72,12,gridsearch_ballet_fold0_k3_tkss_summary.csv,
ballet,TKSS,3,0.0,2,3,,,,,60,10.0,4,30,0.780665861972836,0.766549346619999,72,12,gridsearch_ballet_fold2_k3_tkss_summary.csv,
ballet,TKSS,3,0.0,3,4,,,,,60,10.0,4,30,0.7792838257302049,0.774841564075786,72,12,gridsearch_ballet_fold3_k3_tkss_summary.csv,
ballet,TKSS,5,0.0,0,1,,,,,60,0.004641588833612777,1,30,0.7343852954795094,0.6728398090169735,36,12,gridsearch_ballet_fold0_k5_tkss_summary.csv,
ballet,TKSS,5,0.0,2,6,,,,,60,2.154434690031882,3,30,0.7308867426445036,0.6997702451244292,36,12,gridsearch_ballet_fold2_k5_tkss_summary.csv,
ballet,TKSS,5,0.0,3,7,,,,,60,2.154434690031882,3,30,0.7195677502390189,0.7337272223408836,36,12,gridsearch_ballet_fold3_k5_tkss_summary.csv,
ballet,WTV-SSC,3,0.0,0,1,0.1,,2.154434690031882,3,,,,100,0.8035520308190277,0.687935644323206,72,12,gridsearch_ballet_fold0_k3_ssc_sparse_block_tv_summary.csv,"lambda_2 is NOT a flat constant -- it is derived per matrix from lambda_2_row_ref via the row-equivalent rescaling: D_raw = sliding_block_diff_matrix(N, block_size, normalize=False); f = ||D_raw||_2 / ||D_raw's row||; lambda_2 = f * lambda_2_row_ref (N = number of columns of the matrix being clustered). Uses the spectral-norm solver (norm_mode='spectral', the default), not the row-norm solver. See run_ssc_sparse_block_tv_rowscaled in icassp_ssc_tv2/final_code/sscbench/methods.py."
