dataset     , method , k, sigma, fold, held_out                                                          , lambda_1            , lambda_2           , lambda_2_row_ref    , block_size, d , lam                  , s , max_iter, train_ari         , test_ari          , n_train_matrices, n_test_matrices, source_file                                                               , notes
surveillance, OSC    , 3,  0.0 ,    0, "['0006', '0013', '0022']"                                        , 0.004641588833612777, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.7474164687831648, 0.8213072873886   ,              168,              24, gridsearch_surveillance_fold0_k3_sigma0_osc_summary.csv                   , 
surveillance, OSC    , 3,  0.25,    0, "['0006', '0013', '0022']"                                        , 0.004641588833612777, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.7320778450027676, 0.7815002372937929,              168,              24, gridsearch_surveillance_fold0_k3_sigma0p25_osc_summary.csv                , 
surveillance, OSC    , 3,  0.5 ,    0, "['0006', '0013', '0022']"                                        , 0.021544346900318832, 2.154434690031882  ,                     ,           ,   ,                      ,   ,      100, 0.6730267586252449, 0.6946653629488293,              168,              24, gridsearch_surveillance_fold0_k3_sigma0p5_osc_summary.csv                 , 
surveillance, OSC    , 3,  0.0 ,    1, "['0004', '0014', '0027']"                                        , 0.001               , 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.7477249461296214, 0.7981975234855215,              168,              24, gridsearch_surveillance_fold1_k3_sigma0_osc_summary.csv                   , 
surveillance, OSC    , 3,  0.25,    1, "['0004', '0014', '0027']"                                        , 0.004641588833612777, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.7266947873043402, 0.8191816411827851,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p25_osc_summary.csv                , 
surveillance, OSC    , 3,  0.5 ,    1, "['0004', '0014', '0027']"                                        , 0.021544346900318832, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.6615722343561556, 0.7735686259306943,              168,              24, gridsearch_surveillance_fold1_k3_sigma0p5_osc_summary.csv                 , 
surveillance, OSC    , 5,  0.0 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.004641588833612777, 0.1                ,                     ,           ,   ,                      ,   ,      100, 0.7566068739084328, 0.7656258783424205,               96,              24, gridsearch_surveillance_fold0_k5_sigma0_osc_summary.csv                   , 
surveillance, OSC    , 5,  0.25,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.004641588833612777, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.738328848009638 , 0.7732009028157405,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p25_osc_summary.csv                , 
surveillance, OSC    , 5,  0.5 ,    0, "['0006', '0013', '0014', '0022', '0027']"                        , 0.021544346900318832, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.6876372790920602, 0.6913237865490466,               96,              24, gridsearch_surveillance_fold0_k5_sigma0p5_osc_summary.csv                 , 
surveillance, OSC    , 5,  0.0 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.004641588833612777, 0.1                ,                     ,           ,   ,                      ,   ,      100, 0.7244731852002019, 0.8941606331753448,               96,              24, gridsearch_surveillance_fold1_k5_sigma0_osc_summary.csv                   , 
surveillance, OSC    , 5,  0.25,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.004641588833612777, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.7089634230120018, 0.8906626028062844,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p25_osc_summary.csv                , 
surveillance, OSC    , 5,  0.5 ,    1, "['0004', '0009', '0019', '0025', '0026']"                        , 0.021544346900318832, 0.46415888336127775,                     ,           ,   ,                      ,   ,      100, 0.6468257308674618, 0.8545699794474402,               96,              24, gridsearch_surveillance_fold1_k5_sigma0p5_osc_summary.csv                 , 
